body,timestamp,sender,read
"IND vs AUS, 1st ODI Live on JioTV. Play JioCricket, watch in HD and in 5 languages. Today 1:30 PM onwards https://tinyurl.com/T202INDvsAUSENG",2019-03-02 10:14:20,JX-620016,true
Congratulations! Your Paytm Wallet has been re-activated and validity has been extended till 31 August 2019 as per revised guidelines. You can now add money to your wallet. Complete Full KYC for uninterrupted Wallet usage. Visit http://m.p-y.tm/kyc,2019-03-02 13:15:46,VK-PAYTMB,true
Get upto Rs.500  (min Rs.20) cashback on recharge of 399 (1.5 GB/day for 84 days) on Amazon for your Jio number 9182108704. Click https://amzn.to/2RINLLm to recharge. T&C apply,2019-03-03 08:59:59,JK-620016,true
"👤 Prameela Prema is a new Facebook friend suggestion. If you know her, add her as a friend: https://fb.com/l/1TaChWrtcvNni9G ",2019-03-03 09:01:15,57575751,true
Get upto Rs.500  (min Rs.20) cashback on recharge of 399 (1.5 GB/day for 84 days) on Amazon for your Jio number 9182108704. Click https://amzn.to/2RINLLm to recharge. T&C apply,2019-03-05 03:57:55,JD-620016,true
"📷 Priyanka, Shiva Shivakumar shared a photo: https://fb.com/l/1FT1lWZvWeDC6y7 ",2019-03-05 08:10:11,57575751,true
"Dear Customer, 
You're almost there! Finish your application and get your loan within minutes.
Incase you uninstalled GoRupee, no worries! Click on the link https://fir.im/67th104 and you'll be on your way.",2019-03-06 12:38:20,VK-GORUPE,true
Get upto Rs.500  (min Rs.20) cashback on recharge of 399 (1.5 GB/day for 84 days) on Amazon for your Jio number 9182108704. Click https://amzn.to/2RINLLm to recharge. T&C apply,2019-03-07 03:56:22,JX-620016,true
"Priyanka, Shiva Shivakumar shared a photo: https://fb.com/l/2jKUvdWWNYmWJlw ",2019-03-07 05:38:11,57575751,true
"Dear Customer,One Time Password (OTP) for your Loan application is 559226, OTP is valid for 10 min. Thanks,IDFC Bank.Capital First is now IDFC Bank.",2019-03-07 10:48:31,VK-CAPFST,true
"Dear Customer, 
You are eligible for Easy Buy Card with preapproved limit of INR ??69,466.67. Please contact our representative at store for details. 

IDFC First Bank",2019-03-07 10:51:26,VK-CAPFST,true
Thank  you  for  choosing  Bajaj  Electronics!  Your  Invoice  has  been  placed  successfully.,2019-03-07 11:21:08,AD-BJELEC,true
"<#> Your OTP is 052314

(Authentication key) -XfPer17svqg",2019-03-07 11:46:07,VK-CAPFST,true
"<#> Your OTP is 165038

(Authentication key) -XfPer17svqg",2019-03-08 13:32:57,VK-CAPFST,true
"Priyanka, you have 11 new notifications and 2 friend requests on Facebook: https://fb.com/l/1F3AVd2lm4hyunh ",2019-03-09 08:11:26,57575751,true
"You have used 50% of your 1.50 GB daily high speed data quota on your Jio Number 9182108704 as of 09-Mar-19 15:03. To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click https://youtu.be/SZpJCHV4gdg
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",2019-03-09 09:33:44,JZ-JioPay,true
"మీ జియో నంబర్ 9182108704  పై 1.50 GB హై స్పీడ్ ఇంటర్నెట్  డేటా నుంచి 09-Mar-19 15:03 నాటికి 50% ఉపయోగించారు. మీ బ్యాలన్స్ మరియు వినియోగించిన వివరాలు ట్రాక్ చేయడానికి 1299 మీద మిస్స్ డ్  కాల్ ఇవ్వండి. మీ జీయో అకౌంట్ ను ఎలా మేనేజ్ చేయాలో, మరింత తెలుసుకోవడానికి, ఈ https://youtu.be/mKc7vFW0BBc 
లింకు ను క్లిక్ చేయండి. మీ ప్రస్తుత బ్యాలెన్స్, చెల్లుబాటు, ప్లాన్ వివరాలు మరియు ఉత్తేజకరమైన రీఛార్జ్ ప్రణాళికల కోసం 1991 డయల్ చేయండి",2019-03-09 09:34:16,JZ-JioPay,true
"Kanna Mudhiraj is a new Facebook friend suggestion. If you know him, add him as a friend: https://fb.com/l/1ZnYq2hfBTtqsqE",2019-03-11 05:05:29,56161940,true
"Dear Customer, Your loan has been sanctioned for INR 15800.00 for SAMSUNG REF-DC under scheme 12/4. Dealer ELECTRONICS MART INDIA LTD RAMANTHAPUR HYDERABAD has been authorised to deliver the asset as per your request. - IDFC First Bank.",2019-03-11 09:40:20,VK-CAPFST,true
"<#> Your OTP is 501065

(Authentication key) -XfPer17svqg",2019-03-12 03:14:14,VK-CAPFST,true
"<#> Your OTP is 754650

(Authentication key) -XfPer17svqg",2019-03-12 03:16:30,VK-CAPFST,true
[Hago]Use 3730 to verify your Hago account.,2019-03-12 12:24:08,57575858,true
[Hago]Use 3730 to verify your Hago account.,2019-03-12 12:24:31,57575858,true
Dear customer your demo request 4278757780 has  been cancelled. Kindly contact us at 180040SAMSUNG (7267864) for  any assistance.,2019-03-12 13:35:17,VM-SamCCC,true
"<#> Your OTP is 820364

(Authentication key) -XfPer17svqg",2019-03-13 03:09:55,VK-CAPFST,true
"మీ జియో నంబర్ 9182108704 పై ఉన్న ప్లాన్ గడువు తేదీ 17-03-2019. సేవలను నిలిపి వేయకుండా ఉండడానికి మీరు వెంటనే రీఛార్జ్ చేయండి. ఈ లింకు ను www.jio.com/r/fxu6ZzDGn క్లిక్ చేయండి లేదా మీ సమీప జియో రీటైలర్ ను సందర్శించండి. ఇతర ప్లాన్ వివరములకు, కాల్ చేయండి 1991.",2019-03-13 06:19:32,JB-JIOINF,true
"Baindla Srishailam is a new Facebook friend suggestion. If you know him, add him as a friend: https://fb.com/l/1HoIzmv8KN2KKGO ",2019-03-13 07:07:13,57575751,true
Scratch card & win upto Rs 100 cashback on recharge of 399 (1.5 GB/day for 84 days) on PhonePe for the number 9182108704 .Click https://phon.pe/jio to Recharge. T&C apply.,2019-03-13 09:03:55,JM-620016,true
"<#> Your OTP is 873501

(Authentication key) -XfPer17svqg",2019-03-13 09:46:56,VK-CAPFST,true
Your SmartCoin Verification Code is 59892,2019-03-13 09:52:59,HP-SmCoin,true
One India One emergency number 112 launched by Home Ministry in 19 States/UTs. Call 112 in an emergency and get quick response. More details at https://112.gov.in,2019-03-14 02:53:09,JB-MHACIS,true
"Your plan for Jio no.9182108704 will expire on 17-03-2019 To avoid STOPPAGE of services , you need to recharge IMMEDIATELY. Click www.jio.com/r/fx5BrkJIF or visit your nearest Jio retailer.For other plans, call 1991.",2019-03-14 03:57:04,JB-JIOINF,true
Get upto Rs.500  (min Rs.20) cashback on recharge of 399 (1.5 GB/day for 84 days) on Amazon for your Jio number 9182108704. Click https://amzn.to/2RINLLm to recharge. T&C apply,2019-03-14 10:07:04,JM-620016,true
"Your plan for Jio no.9182108704 will expire on 17-03-2019. Recharge with Best Value Rs.399 plan today and enjoy 1.5 GB high speed data per day and unlimited calling benefits for 84 days. Click www.jio.com/r/fysIRbMBw to recharge. T&C apply.For other plans, call 1991.",2019-03-14 10:52:33,JM-620016,true
"<#> imo code: 5584
LGIS0nvV16S",2019-03-14 13:47:06,56161940,true
"<#> Your OTP is 822015

(Authentication key) -XfPer17svqg",2019-03-14 13:48:51,VK-CAPFST,true
"జియో ని సంప్రదించినందుకు ధన్యవాదాలు.  మీ జియో నంబర్ కొరకు అద్భుతమైన రీఛార్జ్ ప్లాన్ల వివరాలు తెలుసుకోవడానికి, ఈ లింకు ను https://www.jio.com/fup క్లిక్ చేసి రీఛార్జ్ ఆప్షన్ ను నొక్కండి. 'వీడియోలు' కోసం, ఈ లింకు ను http://tiny.jio.com/JioVideos1 క్లిక్ చేయండి",2019-03-14 14:36:48,JX-JIOSVC,true
"Dear Customer,
Thank you for contacting Jio. Would you take a moment to rate your Jio care experience?
http://tiny.jio.com/4IdCpRs

Thank you,
Team Jio",2019-03-14 14:42:26,JZ-JIOSVC,true
"మీ జియో నంబర్ 9182108704 పై ఉన్న ప్లాన్ గడువు తేదీ 17-03-2019. సేవలను నిలిపి వేయకుండా ఉండడానికి మీరు వెంటనే రీఛార్జ్ చేయండి. ఈ లింకు ను www.jio.com/r/fyEle5quV క్లిక్ చేయండి లేదా మీ సమీప జియో రీటైలర్ ను సందర్శించండి. ఇతర ప్లాన్ వివరములకు, కాల్ చేయండి 1991.",2019-03-15 05:16:30,JB-JIOINF,true
Welcome to IDFC First Bank! Your EMI of Rs. 1317.0000 will be debited on 2 of every month from 02-05-2019 to 02-12-2019 against loan a/c No.20831202 for an amount of Rs9926.0000.The Rate of interest charged is CIRR We thank you for choosing us as your finance partner for purchase of REF-DC. In case of dispute SMS NO to 8390306070.- IDFC First Bank,2019-03-15 07:27:55,VK-CAPFST,true
"Dear Customer, you can now visit any authorized IDFC First Bank dealer store near you to get your Statement of Account, Repayment Schedule, Foreclosure statement or NOC. You can also get all your information by simply downloading our app. https://goo.gl/yNQMgl  - IDFC First Bank",2019-03-15 07:36:10,VK-CAPFST,true
A warm welcome to IDFC First Bank! Your Loan A/c No. is 20831202 & an EMI of Rs.1317 will be debited on 2 of every month from 2019-05-02 to 2019-12-02.,2019-03-15 07:43:02,VK-CAPFST,true
"Wilson Guntaka is a new Facebook friend suggestion. If you know him, add him as a friend: https://fb.com/l/2myxzVEjuZcYMVS ",2019-03-15 08:55:55,57575751,true
Scratch card & win upto Rs 100 cashback on recharge of 399 (1.5 GB/day for 84 days) on PhonePe for the number 9182108704 .Click https://phon.pe/jio to Recharge. T&C apply.,2019-03-15 09:04:21,JM-620016,true
973658 is your login OTP. Treat this as confidential. Sharing it with anyone gives them full access to your Kissht account.,2019-03-15 14:53:47,VK-KISSHT,true
"మీ జియో నంబర్ 9182108704  పై 1.50 GB హై స్పీడ్ ఇంటర్నెట్  డేటా నుంచి 15-Mar-19 20:55 నాటికి 50% ఉపయోగించారు. మీ బ్యాలన్స్ మరియు వినియోగించిన వివరాలు ట్రాక్ చేయడానికి 1299 మీద మిస్స్ డ్  కాల్ ఇవ్వండి. మీ జీయో అకౌంట్ ను ఎలా మేనేజ్ చేయాలో, మరింత తెలుసుకోవడానికి, ఈ https://youtu.be/mKc7vFW0BBc 
లింకు ను క్లిక్ చేయండి. మీ ప్రస్తుత బ్యాలెన్స్, చెల్లుబాటు, ప్లాన్ వివరాలు మరియు ఉత్తేజకరమైన రీఛార్జ్ ప్రణాళికల కోసం 1991 డయల్ చేయండి",2019-03-15 15:26:01,JA-JioPay,true
"You have used 50% of your 1.50 GB daily high speed data quota on your Jio Number 9182108704 as of 15-Mar-19 20:55. To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click https://youtu.be/SZpJCHV4gdg
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",2019-03-15 15:26:30,JZ-JioPay,true
"మీ జియో నంబర్ 9182108704 పై ఉన్న ప్లాన్ గడువు తేదీ రేపటితో ముగియనున్నది. రీచార్జ్ చేయనట్లైతే సేవలు నిలిపివేయబడతాయి. రీచార్జ్ చేయడానికి ఈ లింకు ను www.jio.com/r/fzeyMOnJd క్లిక్ చేయండి లేదా మీ రీటైలర్ ను సందర్శించండి.  ఇతర ప్లాన్ వివరములకు, కాల్ చేయండి 1991.",2019-03-16 04:37:10,JB-JIOINF,true
"Dear Customer, As per your request, your JioTune song has been changed for your Jio Number 9182108704. Charges: Rs. 0.0 To Deactivate, please call 155223 or SMS STOP to 56789. Thankyou, Team Jio.",2019-03-16 08:14:14,JX-JioApp,true
Scratch card & win upto Rs 100 cashback on recharge of 399 (1.5 GB/day for 84 days) on PhonePe for the number 9182108704 .Click https://phon.pe/jio to Recharge. T&C apply.,2019-03-16 10:28:45,JM-620016,true
ನಿಮ್ಮ ಜಿಯೋ ನಂಬರ್ 9182108704 ನ ಪ್ಲಾನ್ ನಾಳೆ ಮುಗಿಯುತ್ತಿದೆ. ಅತ್ಯುತ್ತಮ ಮೌಲ್ಯದ ಇಂದೇ  ರಿಚಾರ್ಜ್ ಮಾಡಿ ರು. 399  ಪ್ಲಾನ್ ಮತ್ತು ಆನಂದಿಸಿ 1.5 GB ಹೈ ಸ್ಪೀಡ್ ಡೇಟಾ 84 ದಿನಗಳವರೆಗೆ. ಕ್ಲಿಕ್ ಮಾಡಿ www.jio.com/r/fztjw9iaQ  ರಿಚಾರ್ಜ್ ಮಾಡಲು. ಷರತ್ತು ಮತ್ತು ನಿರ್ಬಂಧನೆಗಳು ಅನ್ವಯಿಸುತ್ತವೆ. ಇನ್ನು ಇತರ ಪ್ಲಾನ್ ಗಳಿಗಾಗಿ ಕರೆ ಮಾಡಿ 1991.,2019-03-16 11:16:18,JM-620016,true
"మీ జియో నంబర్ 9182108704 పై మీ ప్రస్తుత ప్లాన్? ప్లాన్ MRP 149 17-Mar-19 21:49 Hrs నాటికీ  గడువు ముగుస్తుంది. మీరు ఇప్పటికే రీఛార్జి చేసినట్లైతే, మీ కొత్త ప్లాన్ ఆటోమేటిక్ గా యాక్టివేట్ అవుతుంది. మీరు రీఛార్జ్ చేయననట్లైతే, మీ సేవలు పనిచేయటం ఆగిపోతాయి. రీఛార్జ్ చేయుటకు ఈ లింకు ను http://tiny.jio.com/RechargePlans క్లిక్ చేయండి. ప్రస్తుత బ్యాలన్స్, వ్యాలిడిటీ, ప్లాన్ వివరాలు ఇంకా ఉత్తేజకరమైన రీచార్జ్  ప్లాన్ల వివరాలకు 1991 కు కాల్ చేయండి",2019-03-16 17:10:31,JZ-JioPay,true
"మీ జియో నంబర్ 9182108704 పై ఉన్న ప్లాన్ గడువు తేదీ నేటితో ముగియనున్నది.  రీచార్జ్ చేయనట్లైతే సేవలు నిలిపివేయబడతాయి. రీచార్జ్ చేయడానికి ఈ లింకు ను www.jio.com/r/fzKDP3VIt క్లిక్ చేయండి లేదా మీ సమీప జియో రీటైలర్ ను సందర్శించండి. ఇతర ప్లాన్ వివరములకు, కాల్ చేయండి 1991.",2019-03-17 04:39:10,JB-JIOINF,true
"Priyanka, Shiva Shivakumar shared a link: https://fb.com/l/1Fjh1BpK8LwplsP ",2019-03-17 08:59:01,57575751,true
Get upto Rs.500  (min Rs.20) cashback on recharge of 399 (1.5 GB/day for 84 days) on Amazon for your Jio number 9182108704. Click https://amzn.to/2RINLLm to recharge. T&C apply,2019-03-17 09:39:18,JX-620016,true
"Your plan MRP 149 for Jio Number 9182108704 has expired on 17-Mar-19 21:49 Hrs. If you have already recharged, your new plan will get automatically activated. If you have not recharged, your services will stop working. To recharge click,  http://tiny.jio.com/RechargePlans . Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",2019-03-17 16:20:25,JA-JIONET,true
"మీ జియో నంబర్ 9182108704 పై మీ ప్రస్తుత ప్లాన్? ప్లాన్ MRP 149 17-Mar-19 21:49 Hrs నాటికీ  గడువు ముగిసింది.  మీరు ఇప్పటికే రీఛార్జి చేసినట్లైతే, మీ కొత్త ప్లాన్ ఆటోమేటిక్ గా యాక్టివేట్ అవుతుంది. మీరు రీఛార్జ్ చేయననట్లైతే, మీ సేవలు పనిచేయటం ఆగిపోతాయి. రీఛార్జ్ చేయుటకు ఈ లింకు ను http://tiny.jio.com/RechargePlans క్లిక్ చేయండి. ప్రస్తుత బ్యాలన్స్, వ్యాలిడిటీ, ప్లాన్ వివరాలు ఇంకా ఉత్తేజకరమైన రీచార్జ్  ప్లాన్ల వివరాలకు 1991 కు కాల్ చేయండి",2019-03-17 16:20:57,JZ-JioPay,true
"Data speed has been reduced & outgoing calls restricted for Jio no. 9182108704. Recharge with Best Value Rs.399 plan IMMEDIATELY to enjoy 1.5 GB high speed data per day and unlimited calling benefits for 84 days. Click www.jio.com/r/fAmcEaz3g to recharge. T&C apply.For other plans, call 1991.",2019-03-18 04:55:39,JM-620016,true
"Your plan for Jio no. 9182108704 has expired. Data speed has been reduced & outgoing calls are barred. Recharge IMMEDIATELY to resume services. Click on www.jio.com/r/fAlJkaSe5 or visit your nearest Jio retailer NOW.For other plans, call 1991.",2019-03-18 07:00:20,JB-JIOINF,true
Get upto Rs.30 cashback on recharge of 399 (1.5 GB/day for 84 days) through PayTM for your Jio number 9182108704. Click https://paytmapp.app.link/jio to Recharge Now! T&C apply.,2019-03-18 08:16:16,JM-620016,true
"We have received recharge request for your Jio connection. Transaction ID : BR0002FC4KYR
Please keep this transaction ID for future reference. Once the recharge is successful, you will receive a confirmation message. 
To check recharge status, click https://www.jio.com/recharge_history or dial 1991 from your Jio number.",2019-03-19 03:40:29,JG-JIONET,true
"Recharge of Rs. 149.0 is successful for your Jio number 9182108704.
Entitlement: Benefits: Free Voice, Unlimited Data (1.5GB High Speed Data per day, thereafter unlimited at 64Kbps), 100SMS/day and Complimentary Subscription to Jio Apps. Validity: 28days.
Transaction ID: BR0002FC4KYR
To manage your account with MyJio app, click http://tiny.jio.com/MyJioApp .
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",2019-03-19 03:41:30,JG-JioPay,true
"Your plan for Jio no. 9182108704 has expired. Data speed has been reduced & outgoing calls are barred. Recharge IMMEDIATELY to resume services. Click on www.jio.com/r/fAT52gSxr or visit your nearest Jio retailer NOW.For other plans, call 1991.",2019-03-19 04:48:01,JB-JIOINF,true
"మీ జియో నంబర్ 9182108704 పై ఉన్న ప్లాన్ గడువు తేదీ ముగిసింది. డేటా స్పీడ్ తగ్గించబడినది మరియు ఔట్ గోయింగ్ కాల్స్ నిలిపివేయబడినవి. సేవలను తిరిగి ప్రారంభించటానికి వెంటనే రీఛార్జ్ చేయండి. రీచార్జ్ చేయడానికి ఈ లింకు ను www.jio.com/r/fATHE2ugo క్లిక్ చేయండి.  లేదా మీ సమీప జియో రీటైలర్ ను ఇప్పుడే సందర్శించండి. ఇతర ప్లాన్ వివరములకు, కాల్ చేయండి 1991.",2019-03-19 06:03:29,JB-JIOINF,true
"Data speed has been reduced & outgoing calls restricted for Jio no. 9182108704. Recharge with Best Value Rs.399 plan IMMEDIATELY to enjoy 1.5 GB high speed data per day and unlimited calling benefits for 84 days. Click www.jio.com/r/fAVvZQtc5 to recharge. T&C apply.For other plans, call 1991.",2019-03-19 06:06:32,JK-620016,true
"Baindla Bhaskar Baindla Bhaskar is on Facebook. If you know him, send him a friend request: https://fb.com/l/bSwt2FloKH2epB ",2019-03-19 06:46:46,57575751,true
Own Galaxy S10e/S10/S10+ now at Rs.2170 &with other special offers. Create the most artistic selfies on Next-Gen Dual Front Camera!TnC http://1kx.in/DQSfWyJgsXG,2019-03-19 09:26:02,BZ-SAMSNG,true
Get upto Rs.500  (min Rs.20) cashback on recharge of 399 (1.5 GB/day for 84 days) on Amazon for your Jio number 9182108704. Click https://amzn.to/2RINLLm to recharge. T&C apply,2019-03-19 10:19:27,JX-620016,true
"You have used 50% of your 1.50 GB daily high speed data quota on your Jio Number 9182108704 as of 20-Mar-19 12:55. To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click https://youtu.be/SZpJCHV4gdg
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",2019-03-20 07:25:22,JA-JioPay,true
"మీ జియో నంబర్ 9182108704  పై 1.50 GB హై స్పీడ్ ఇంటర్నెట్  డేటా నుంచి 20-Mar-19 12:55 నాటికి 50% ఉపయోగించారు. మీ బ్యాలన్స్ మరియు వినియోగించిన వివరాలు ట్రాక్ చేయడానికి 1299 మీద మిస్స్ డ్  కాల్ ఇవ్వండి. మీ జీయో అకౌంట్ ను ఎలా మేనేజ్ చేయాలో, మరింత తెలుసుకోవడానికి, ఈ https://youtu.be/mKc7vFW0BBc 
లింకు ను క్లిక్ చేయండి. మీ ప్రస్తుత బ్యాలెన్స్, చెల్లుబాటు, ప్లాన్ వివరాలు మరియు ఉత్తేజకరమైన రీఛార్జ్ ప్రణాళికల కోసం 1991 డయల్ చేయండి",2019-03-20 07:25:53,JZ-JioPay,true
<#> DO NOT SHARE: 7140 is the OTP for your OlaCabs account. Keep this OTP to yourself for account safety.7qhFc0tKW6j,2019-03-20 07:29:22,VM-OLACAB,true
"Hi, our revamped Payment Helpdesk is now live. For queries or issues, please dial our new Payment Helpdesk no. 0120-4440440. http://m.p-y.tm/HelpD",2019-03-20 08:06:09,BH-vpaytm,true
"Lakshmi Lucky is on Facebook. If you know her, send her a friend request: https://fb.com/l/2nqLaMtoqpq6Bra ",2019-03-20 15:14:43,57575751,true
"Sukanya Dommati is on Facebook. If you know her, send her a friend request: https://fb.com/l/1GZqEqdO26v9tiJ ",2019-03-22 06:02:08,57575751,true
"Priyanka, you have 5 new notifications and 3 friend requests on Facebook: https://fb.com/l/1QvmZgeA4PHTO6A ",2019-03-23 15:06:30,57575751,true
"You have used 50% of your 1.50 GB daily high speed data quota on your Jio Number 9182108704 as of 24-Mar-19 00:04. To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click https://youtu.be/SZpJCHV4gdg
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",2019-03-23 18:34:02,JA-JioPay,true
"మీ జియో నంబర్ 9182108704  పై 1.50 GB హై స్పీడ్ ఇంటర్నెట్  డేటా నుంచి 24-Mar-19 00:04 నాటికి 50% ఉపయోగించారు. మీ బ్యాలన్స్ మరియు వినియోగించిన వివరాలు ట్రాక్ చేయడానికి 1299 మీద మిస్స్ డ్  కాల్ ఇవ్వండి. మీ జీయో అకౌంట్ ను ఎలా మేనేజ్ చేయాలో, మరింత తెలుసుకోవడానికి, ఈ https://youtu.be/mKc7vFW0BBc 
లింకు ను క్లిక్ చేయండి. మీ ప్రస్తుత బ్యాలెన్స్, చెల్లుబాటు, ప్లాన్ వివరాలు మరియు ఉత్తేజకరమైన రీఛార్జ్ ప్రణాళికల కోసం 1991 డయల్ చేయండి",2019-03-23 18:34:04,JA-JioPay,true
"JioCricket Play Along 2019 lets you earn double the points, with every 'Free Hit'. As KKR & SRH battle it out, so can you! Play Now on MyJio. Click www.jio.com/r/fEdyAlcFS",2019-03-24 11:34:44,JD-620016,true
Sirisha Thakur is a new Facebook friend suggestion: https://fb.com/l/2npbTYQGFglOVE1 ,2019-03-25 03:37:58,57575751,true
Open Zero Balance A/c for DBT with Kotak Mahindra Bank & get Assured Cashbacks on transactions.T&C apply Avail this offer. Click http://1kx.in/C5syuD,2019-03-26 08:29:06,BV-KotkBK,true
"It's gonna be Junior vs Senior. Pant meets Dhoni as Delhi Capitals play Chennai Super Kings tonight at 8pm. Start early, to stay ahead. Play JioCricket on MyJio. Click www.jio.com/r/fFgrcGras",2019-03-26 12:41:34,JK-620016,true
"Priyanka, you have 7 new notifications and 3 friend requests on Facebook: https://fb.com/l/2gueVMgbMHpjDTc ",2019-03-27 08:28:12,57575751,true
"Get information about your Court case anytime, anywhere using 2 easy ways:

1. Download eCourts Services Mobile App
2. Visit eCourts portal: ecourts.gov.in",2019-03-27 15:40:21,VM-COURTS,true
"BookMyShow Update: BookMyShow employees or its agents will not ask for your credit/debit card number, CVV, OTP, net banking login id, password or any sensitive information. None of the employees/agents will ask you to transfer funds to a personal account or to install third-party apps to view your screen. Please do not share your details under any circumstance. Immediately report such incidents to helpdesk@bookmyshow.com. BookMyShow's official support URL is https://support.bookmyshow.com Please direct your queries ONLY to these addresses.",2019-03-28 08:17:03,VM-BMSHOW,true
"Make every ball count for you! Score big on JioCricket Play Along 2019 on MyJio, while RCB and MI battle it out.click www.jio.com/r/fGkfvK7vj",2019-03-28 11:03:39,JX-620016,true
Ramesh Raam is a new Facebook friend suggestion: https://fb.com/l/1FfSc0OQjz6sKA2 ,2019-03-29 08:21:23,57575751,true
"Hi Siva,

Users are loving the All New JD App. What's New? Live TV, News, Chat, Maps & more! Try Now:
https://www.justdial.com/app7dl

AIRTEL (CUSTOMER CARE)
+919849098490
+919849012345
Address: https://www.justdial.com/map-284W7RDV",2019-03-29 13:58:11,IM-JustDl,true
"To experience the best of Airtel-Fastest in 27 States, insert SIM in Slot 1 & save the settings sent on your mobile. If  asked for password, use 0000. To receive settings in future, SMS MO to 54321. Now manage all your Airtel accounts easily with My Airtel App. To download the App, click www.airtel.in/5/du",2019-03-29 14:13:34,Airtel,true
"Experience 4G with Airtel! Recharge with Rs399 to get Unlimited National Calls,1GB data per day,100 National SMS/day for 84 days",2019-03-30 01:21:34,AA-RECHRG,true
"Money Saver pack!
Rs399=84GB (1GB/day) and Unlimited Local, STD+Roaming calls with 100 SMS/day for 84 days on all handsets
Non Commercial use,visit retailer",2019-03-30 04:24:34,AA-650001,true
"Airtel services on 9059062128 have expired due to no recharge.To start again,recharge with Unlimited/SMART PACK.Call 12181 or dial *121*51#.Ignore if recharged",2019-03-30 09:03:03,A$-AIRGSS,true
"Money Saver pack!
Rs399=84GB (1GB/day) and Unlimited Local, STD+Roaming calls with 100 SMS/day for 84 days on all handsets
Non Commercial use,visit retailer",2019-03-31 04:14:04,AA-650001,true
Best network best Plans! Airtel Launches L900 4G Technology in Hyderabad.Recharge with Rs119 & get  Unlimited Call+1GB Data+300SMS 28Days & enjoy BEST Network,2019-03-31 06:13:53,AP-FFSPRT,true
"Airtel services on 9059062128 have expired due to no recharge.To start again,recharge with Unlimited/SMART PACK.Call 12181 or dial *121*51#.Ignore if recharged",2019-03-31 07:12:47,A$-AIRGSF,true
"Claim Your FREE Data Benefit Now!
Install My Airtel App & get 1GB free for 3 days, On First time Install.T&C
Download My Airtel App, Click airtel.in/5/1GB",2019-03-31 09:56:49,AA-650014,true
